score,gate,idx,type,label,head,head_type,tail,tail_type,head_start,head_end,tail_start,tail_end,train_type_freq,unique_source_count,weighted_support,trigger_score,trigger_hits,base_sample_rel_count,sources,context
12.3,review,98,QTL-LOI-TRT,LOI,QTL ALS10.1,QTL,resistance,TRT,225,236,59,69,224,18,4.5,0,,6,submit_ensemble.json;submit_ensemble_v4a.json;submit_optimized.json;submit_sc_gemini.json;submit_v11_nano.json;submit_v2.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json;submit_v3.json;submit_v4.json;submit_v5.json;submit_v6_rag.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,"SSR marker CEDG304 on LG9 of yardlong bean associated with resistance. ICIM identified a major QTL, qCLS9.1, for resistance on LG9. qCLS9.1 accounted for 25.40-89.26% of disease score variation. qCLS9.1 is likely the same as QTL ALS10.1 conferring resistance to angular leaf spot disease in common bean."
12.0625,review,243,CROP-HAS-TRT,HAS,mungbean,CROP,trichome density,TRT,120,128,73,89,165,20,5.0,0,,3,submit_ensemble.json;submit_ensemble_v4a.json;submit_optimized.json;submit_sc_gemini.json;submit_v11_nano.json;submit_v2.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json;submit_v3.json;submit_v4.json;submit_v41_rule_all.json;submit_v41_rule_crop_has_trt.json;submit_v41_rule_midcov_combo.json;submit_v5.json;submit_v6_rag.json;submit_v9_clean.json;submit_v9_targeted.json,"Candidate genes VRADI07G24840, VRADI07G17780, and VRADI07G15650 regulate trichome density on the dorsal leaf surface of mungbean. VRADI07G24840 encodes ZFP6, VRADI07G17780 encodes a bHLH DNA-binding superfamily protein, and VRADI07G15650 encodes MYB102. Candidate genes VRADIO7G29860, VRADIO7G29450, and VRADIO"
12.05,review,59,QTL-LOI-TRT,LOI,27 loci,QTL,resistance effects,TRT,0,7,38,56,224,7,1.75,3,"chromosome,chr,region,locus",3,submit_ensemble.json;submit_optimized.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v5.json;submit_v7_cicl_v2.json,"27 loci on six barley chromosomes had resistance effects to at least one of five isolates. Almost all previously reported chromosomal regions for powdery mildew resistance genes were detected, plus a possible additional locus on"
12.05,review,207,QTL-LOI-TRT,LOI,QTLs,QTL,root fresh weight,TRT,0,4,22,39,224,7,1.75,3,"linked,chromosome,chr",4,submit_ensemble.json;submit_optimized.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v5.json;submit_v6_rag.json,"QTLs for root volume, root fresh weight, and root dry weight co-localized on chromosome SBI-04. These traits are positively correlated and can be improved using the same linked markers."
12.05,review,207,QTL-LOI-TRT,LOI,QTLs,QTL,root dry weight,TRT,0,4,45,60,224,7,1.75,3,"linked,chromosome,chr",4,submit_ensemble.json;submit_optimized.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v5.json;submit_v6_rag.json,"QTLs for root volume, root fresh weight, and root dry weight co-localized on chromosome SBI-04. These traits are positively correlated and can be improved using the same linked markers."
12.05,review,311,QTL-LOI-TRT,LOI,QTLs,QTL,plant height,TRT,178,182,85,97,224,7,1.75,3,"mapping,chromosome,chr",3,submit_ensemble.json;submit_optimized.json;submit_v10_gemini.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v6_rag.json,"120 barley double haploid lines from the 'Steptoe' x 'Morex' cross were screened for plant height, peduncle length, spike length, and grains per plant. QTL mapping identified 15 QTLs on chromosomes 1H, 2H, 3H, 4H, 5H, and 7H, explaining 5.42% to 47.27% phenotypic variation."
12.05,review,311,QTL-LOI-TRT,LOI,QTLs,QTL,peduncle length,TRT,178,182,99,114,224,7,1.75,3,"mapping,chromosome,chr",3,submit_ensemble.json;submit_optimized.json;submit_v10_gemini.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v6_rag.json,"y double haploid lines from the 'Steptoe' x 'Morex' cross were screened for plant height, peduncle length, spike length, and grains per plant. QTL mapping identified 15 QTLs on chromosomes 1H, 2H, 3H, 4H, 5H, and 7H, explaining 5.42% to 47.27% phenotypic variation."
12.05,review,311,QTL-LOI-TRT,LOI,QTLs,QTL,spike length,TRT,178,182,116,128,224,7,1.75,3,"mapping,chromosome,chr",3,submit_ensemble.json;submit_optimized.json;submit_v10_gemini.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v6_rag.json,"lines from the 'Steptoe' x 'Morex' cross were screened for plant height, peduncle length, spike length, and grains per plant. QTL mapping identified 15 QTLs on chromosomes 1H, 2H, 3H, 4H, 5H, and 7H, explaining 5.42% to 47.27% phenotypic variation."
12.05,review,311,QTL-LOI-TRT,LOI,QTLs,QTL,grains per plant,TRT,178,182,134,150,224,7,1.75,3,"mapping,chromosome,chr",3,submit_ensemble.json;submit_optimized.json;submit_v10_gemini.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v6_rag.json,"eptoe' x 'Morex' cross were screened for plant height, peduncle length, spike length, and grains per plant. QTL mapping identified 15 QTLs on chromosomes 1H, 2H, 3H, 4H, 5H, and 7H, explaining 5.42% to 47.27% phenotypic variation."
12.05,review,291,QTL-LOI-TRT,LOI,QTL,QTL,aphid resistance,TRT,55,58,24,40,224,7,1.75,3,"chromosome,chr,region",3,submit_optimized.json;submit_v3.json;submit_v4.json;submit_v5.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,"A dominant gene governs aphid resistance in sorghum. A QTL for aphid resistance, qMsa-6, was identified in a 124 kb region on chromosome 6."
12.05,review,319,QTL-LOI-TRT,LOI,VaFld4.1,QTL,flowering time,TRT,106,114,64,78,224,7,1.75,3,"mapped,chromosome,chr",4,submit_optimized.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,"Six QTLs for 100-seed weight (SD100WT) were detected. Two major flowering time QTLs were on chromosome 4: VaFld4.1 co-segregated with SNP marker s690-144110, and VaFld4.2 was 0.974 cM from SNP marker s165-116310. Three QTLs for seed number per pod (Snp3.1, Snp3.2, Snp4.1) were mapped on chromoso"
12.05,review,319,QTL-LOI-TRT,LOI,VaFld4.2,QTL,flowering time,TRT,162,170,64,78,224,7,1.75,3,"mapped,chromosome,chr",4,submit_optimized.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,"Six QTLs for 100-seed weight (SD100WT) were detected. Two major flowering time QTLs were on chromosome 4: VaFld4.1 co-segregated with SNP marker s690-144110, and VaFld4.2 was 0.974 cM from SNP marker s165-116310. Three QTLs for seed number per pod (Snp3.1, Snp3.2, Snp4.1) were mapped on chromosomes 3 and 4."
12.0125,review,14,TRT-AFF-BIS,AFF,seedling reactions,TRT,six common Pca races,BIS,160,178,182,202,1,24,6.0,1,resistance,3,submit_ensemble.json;submit_ensemble_v2_intersect.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_sc_gemini.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v6_rag.json;submit_v7_cicl_v2.json;submit_v9_clean.json;submit_v9_targeted.json,and 50 breeding lines from eight Canadian oat breeding programs. They were evaluated for seedling reactions to six common Pca races and to a bulk Pca inoculum in greenhouse trials. They were also evaluated for adult plant resistance (APR) to natural Pca populations in field trials in 2014 and 2015. 6
12.0,review,205,MRK-USE-VAR,USE,KASP assays,MRK,tan2-d,VAR,108,119,4,10,0,20,5.0,2,"using,developed",0,submit_ensemble.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_v10_gemini.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v38_llm_no_rel.json;submit_v7_cicl_v2.json;submit_v9_targeted.json,The tan2-d allele has a C-to-T transition causing a premature stop codon before the bHLH domain in Tannin2. KASP assays targeting these recessive alleles were developed to genotype large populations.
11.7625,review,371,QTL-LOI-MRK,LOI,qSFW9,QTL,SB5069-UGSM18,MRK,179,184,336,349,1,23,5.75,1,interval,6,submit_ensemble.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_sc_gemini.json;submit_v10_gemini.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v6_rag.json;submit_v9_clean.json;submit_v9_targeted.json,"itions. Phenotypic variation explained (PVE) ranged from 4.16% to 20.42%. Six QTLs (qTB6, qSFW9, qJW9, qBrix2, qBrix10, qSTI-Brix9) were main effect QTLs controlling salt tolerance with PVE > 10%. qSFW9 and qJW9 colocalized in the marker interval SB5069-UGSM18. Their PVEs were 17.70% and 14.20%, respectively, with positive effects from L-Tian."
11.7625,review,371,QTL-LOI-MRK,LOI,qJW9,QTL,SB5069-UGSM18,MRK,186,190,336,349,1,23,5.75,1,interval,6,submit_ensemble.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_sc_gemini.json;submit_v10_gemini.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v6_rag.json;submit_v9_clean.json;submit_v9_targeted.json,"Phenotypic variation explained (PVE) ranged from 4.16% to 20.42%. Six QTLs (qTB6, qSFW9, qJW9, qBrix2, qBrix10, qSTI-Brix9) were main effect QTLs controlling salt tolerance with PVE > 10%. qSFW9 and qJW9 colocalized in the marker interval SB5069-UGSM18. Their PVEs were 17.70% and 14.20%, respectively, with positive effects from L-Tian."
11.5875,review,273,MRK-LOI-TRT,LOI,markers,MRK,shoot transpiration efficiency,TRT,55,62,126,156,67,23,5.75,0,,5,submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_ensemble_v4b.json;submit_v10_gemini.json;submit_v11_nano.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_selective.json;submit_v9_clean.json;submit_v9_targeted.json,"A genome-wide association study identified 29 reliable markers, including 19 novel markers. Four markers were associated with shoot transpiration efficiency (STE). Genotypes ETSC17129-6-1 and ETSC17300-4-1 exhibited high STE and carried favorable alleles at all four loci."
11.5,review,197,VAR-HAS-TRT,HAS,SAP accessions,VAR,SA resistance,TRT,121,135,29,42,328,14,3.5,0,,2,submit_ensemble.json;submit_ensemble_v2_intersect.json;submit_optimized.json;submit_sc_gemini.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json;submit_v3.json;submit_v4.json;submit_v5.json;submit_v6_rag.json;submit_v7_cicl_v2.json,"SAP lines were evaluated for SA resistance in the field during the 2019 and 2020 growing seasons in Tifton, GA. In 2020, SAP accessions were also evaluated for SA resistance in the field using drone-based high throughput phenotyping."
11.4375,review,41,GENE-LOI-QTL,LOI,Erect Panicle2 (EP2),GENE,Pm 2-2,QTL,9,29,62,68,15,25,6.25,0,,4,submit_ensemble.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_optimized.json;submit_v10_gemini.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v21_elite.json;submit_v3.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v4.json;submit_v6_rag.json;submit_v9_clean.json;submit_v9_targeted.json,The rice Erect Panicle2 (EP2) ortholog is a candidate gene in Pm 2-2. EP2 regulates panicle erectness and panicle length in rice.
11.4,review,9,VAR-HAS-TRT,HAS,Zhonggu2,VAR,serine relative contents,TRT,122,130,144,168,328,9,3.4,0,,2,submit_v10_gemini.json;submit_v21_elite.json;submit_v30_supported_alltypes.json;submit_v43_llm_boost.json;submit_v43_llm_full_valid.json;submit_v43_llm_medium.json;submit_v43_llm_safe.json;submit_v43_sub_plus_llm_safe.json;submit_v5.json,"pholipase D genes were down-regulated and inositol and ethanolamine contents increased in Zhonggu2. Glycine and serine relative contents increased, and the serine hydroxymethyltransferase gene in glycine-serine metabolism was upregulated."
11.4,review,72,ABS-AFF-TRT,AFF,drought stress,ABS,stress response,TRT,102,116,156,171,285,9,3.4,0,,1,submit_sc_gemini.json;submit_v2.json;submit_v20_verB_v19_sc.json;submit_v20_verF_sc_only.json;submit_v43_llm_boost.json;submit_v43_llm_full_valid.json;submit_v43_llm_medium.json;submit_v43_llm_safe.json;submit_v43_sub_plus_llm_safe.json,ion in photosynthetic organisms and plant hormone signal transduction were enriched under drought stress. Expression levels of genes related to stress response and carbon metabolism were altered under drought stress.
11.3375,review,279,MRK-LOI-TRT,LOI,SNP markers,MRK,pod weight,TRT,75,86,108,118,67,22,5.5,0,,5,submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_v10_gemini.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v21_elite.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_selective.json;submit_v9_clean.json;submit_v9_targeted.json,One SNP marker was associated with number of pods (NP) at p < 0.001. Fifty SNP markers were associated with pod weight (PWT) at p < 0.001. Four SNP markers were associated with average seeds per pod (AVSPD) and pod length (PL) at p < 0.001. Five SNP markers were associated with pod width (PWDTH) a
11.3375,review,279,MRK-LOI-TRT,LOI,SNP markers,MRK,average seeds per pod,TRT,75,86,177,198,67,22,5.5,0,,5,submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_v10_gemini.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v21_elite.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_selective.json;submit_v9_clean.json;submit_v9_targeted.json,One SNP marker was associated with number of pods (NP) at p < 0.001. Fifty SNP markers were associated with pod weight (PWT) at p < 0.001. Four SNP markers were associated with average seeds per pod (AVSPD) and pod length (PL) at p < 0.001. Five SNP markers were associated with pod width (PWDTH) at p < 0.001.
11.3375,review,279,MRK-LOI-TRT,LOI,SNP markers,MRK,pod length,TRT,75,86,211,221,67,22,5.5,0,,5,submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_v10_gemini.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v21_elite.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_selective.json;submit_v9_clean.json;submit_v9_targeted.json,One SNP marker was associated with number of pods (NP) at p < 0.001. Fifty SNP markers were associated with pod weight (PWT) at p < 0.001. Four SNP markers were associated with average seeds per pod (AVSPD) and pod length (PL) at p < 0.001. Five SNP markers were associated with pod width (PWDTH) at p < 0.001.
11.3375,review,279,MRK-LOI-TRT,LOI,SNP markers,MRK,pod width,TRT,75,86,279,288,67,22,5.5,0,,5,submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_v10_gemini.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v21_elite.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v31_plus_safe_selective.json;submit_v9_clean.json;submit_v9_targeted.json,One SNP marker was associated with number of pods (NP) at p < 0.001. Fifty SNP markers were associated with pod weight (PWT) at p < 0.001. Four SNP markers were associated with average seeds per pod (AVSPD) and pod length (PL) at p < 0.001. Five SNP markers were associated with pod width (PWDTH) at p < 0.001.
11.3125,review,99,CROP-HAS-TRT,HAS,foxtail millet,CROP,total polyphenol,TRT,109,123,43,59,165,17,4.25,0,,0,submit_ensemble_v4a.json;submit_optimized.json;submit_sc_gemini.json;submit_v10_gemini.json;submit_v11_nano.json;submit_v2.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json;submit_v3.json;submit_v38_llm_highconf.json;submit_v38_llm_no_rel.json;submit_v38_llm_qtl.json;submit_v38_llm_strict.json;submit_v4.json,"Different Zn application methods increased total polyphenol, carotenoid, total flavonoid, and Zn contents in foxtail millet grains. Under basal soil application (S3) and foliar spray (F2), total flavonoid content increased by 45.87% and 64.40% compared to CK."
11.3,review,131,QTL-CON-QTL,CON,SgR1,QTL,resistance QTL,QTL,222,226,201,215,4,25,6.25,0,,2,submit_ensemble.json;submit_ensemble_v2_intersect.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_optimized.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v3.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v4.json;submit_v6_rag.json;submit_v7_cicl_v2.json;submit_v9_clean.json;submit_v9_targeted.json,". Critical RILs and new molecular markers were used for fine mapping, identifying a major resistance QTL named SgR1 (Schizaphis graminum Resistance 1). SgR1 was narrowed from a 508 kb region on chromosome 9 to an 82.7-kb interval flanked by markers GSR345 and GSR348."
11.3,review,238,QTL-LOI-TRT,LOI,QTL clusters,QTL,TB,TRT,0,12,21,23,224,6,1.5,3,"mapped,chromosome,chr,interval",5,submit_ensemble.json;submit_optimized.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v6_rag.json,"QTL clusters for PH, TB, STI-TB, SFW and JW were mapped in the marker interval Xcup19-SB4177 on chromosome 7. These locations are target sites for marker-assisted selection to improve salt tolerance in sorghum."
11.3,review,238,QTL-LOI-TRT,LOI,QTL clusters,QTL,STI-TB,TRT,0,12,25,31,224,6,1.5,3,"mapped,chromosome,chr,interval",5,submit_ensemble.json;submit_optimized.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v6_rag.json,"QTL clusters for PH, TB, STI-TB, SFW and JW were mapped in the marker interval Xcup19-SB4177 on chromosome 7. These locations are target sites for marker-assisted selection to improve salt tolerance in sorghum."
11.3,review,238,QTL-LOI-TRT,LOI,QTL clusters,QTL,SFW,TRT,0,12,33,36,224,6,1.5,3,"mapped,chromosome,chr,interval",5,submit_ensemble.json;submit_optimized.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v6_rag.json,"QTL clusters for PH, TB, STI-TB, SFW and JW were mapped in the marker interval Xcup19-SB4177 on chromosome 7. These locations are target sites for marker-assisted selection to improve salt tolerance in sorghum."
11.3,review,238,QTL-LOI-TRT,LOI,QTL clusters,QTL,JW,TRT,0,12,41,43,224,6,1.5,3,"mapped,chromosome,chr,interval",5,submit_ensemble.json;submit_optimized.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v6_rag.json,"QTL clusters for PH, TB, STI-TB, SFW and JW were mapped in the marker interval Xcup19-SB4177 on chromosome 7. These locations are target sites for marker-assisted selection to improve salt tolerance in sorghum."
11.3,review,268,QTL-LOI-TRT,LOI,Qdon.umb-17A/7C,QTL,DON,TRT,160,175,120,123,224,6,1.5,3,"mapping,chromosome,chr,interval",0,submit_ensemble.json;submit_v5.json;submit_v6_rag.json;submit_v9_clean.json;submit_v9_targeted.json;submit_v9v12_merged.json,"constructed using DArTs, AFLPs, SSRs and SNPs, covering all 21 oat chromosomes. A QTL for DON on chromosome 17A/7C, designated as Qdon.umb-17A/7C, was detected using composite interval mapping, with phenotypic effects of 12.2-26.6%."
11.3,review,124,QTL-LOI-TRT,LOI,QTLs,QTL,PHS,TRT,93,97,28,31,224,6,1.5,3,"located,linked,region,near",2,submit_optimized.json;submit_v11_nano.json;submit_v2.json;submit_v3.json;submit_v4.json;submit_v5.json,Candidate markers linked to PHS were located near these QTL regions. Markers linked to these QTLs were effective for selecting PHS-tolerant lines in other segregating populations.
11.2625,review,50,QTL-LOI-MRK,LOI,Resistance loci,QTL,SSR markers Ch5-55.0,MRK,0,15,77,97,1,21,5.25,1,locus,4,submit_ensemble.json;submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_v10_gemini.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v2.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v5.json;submit_v7_cicl_v2.json,Resistance loci against pathotypes from Texas and Puerto Rico are flanked by SSR markers Ch5-55.0 and Ch5-56.1. The resistance locus against pathotypes from Arkansas is 9.5 cM below SSR marker Ch5-56.1. The resistance locus against pathotypes from Georgia is not in t
11.25,review,135,VAR-HAS-TRT,HAS,resistant variety HN16,VAR,flavonoid biosynthesis pathway,TRT,84,106,159,189,328,7,1.75,2,"with,showed",0,submit_ensemble.json;submit_v38_llm_highconf.json;submit_v38_llm_no_rel.json;submit_v38_llm_qtl.json;submit_v38_llm_strict.json;submit_v5.json;submit_v6_rag.json,Transcriptome and metabolomic analyses showed differentially expressed genes in the resistant variety HN16 and susceptible variety BTX623 were enriched in the flavonoid biosynthesis pathway. Differentially expressed metabolites were related to isoflavonoid biosynthesis and flavonoid biosynthesis. q-PCR results of key genes were consistent with tra
11.25,review,135,VAR-HAS-TRT,HAS,susceptible variety BTX623,VAR,flavonoid biosynthesis pathway,TRT,111,137,159,189,328,7,1.75,2,"with,showed",0,submit_ensemble.json;submit_v38_llm_highconf.json;submit_v38_llm_no_rel.json;submit_v38_llm_qtl.json;submit_v38_llm_strict.json;submit_v5.json;submit_v6_rag.json,abolomic analyses showed differentially expressed genes in the resistant variety HN16 and susceptible variety BTX623 were enriched in the flavonoid biosynthesis pathway. Differentially expressed metabolites were related to isoflavonoid biosynthesis and flavonoid biosynthesis. q-PCR results of key genes were consistent with tra
11.25,review,251,VAR-HAS-TRT,HAS,OX16,VAR,germination rate,TRT,36,40,201,217,328,7,1.75,2,"had,showed",4,submit_sc_gemini.json;submit_v10_gemini.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json,"Transgenic rice expressing SiMYB16 (OX16) had higher survival rate, lower malondialdehyde content, and heavier fresh weight than wild-type (WT) under salt stress. The transgenic plants also had higher germination rate under salt treatment and higher yield in the field compared to wild-type plants. Transcriptome analysis showed that up-regulated genes in the transgenic rice were involved i"
11.25,review,251,VAR-HAS-TRT,HAS,OX16,VAR,yield,TRT,36,40,250,255,328,7,1.75,2,"had,showed",4,submit_sc_gemini.json;submit_v10_gemini.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v20_verF_sc_only.json,"Transgenic rice expressing SiMYB16 (OX16) had higher survival rate, lower malondialdehyde content, and heavier fresh weight than wild-type (WT) under salt stress. The transgenic plants also had higher germination rate under salt treatment and higher yield in the field compared to wild-type plants. Transcriptome analysis showed that up-regulated genes in the transgenic rice were involved in phenylpropanoid biosynthesis, fatty acid elonga"
11.075,review,243,GENE-AFF-GENE,AFF,VRADI07G24840,GENE,ZFP6,GENE,16,29,152,156,26,23,5.75,0,,3,submit_ensemble_v3.json;submit_ensemble_v4a.json;submit_optimized.json;submit_v10_gemini.json;submit_v13_e3plus.json;submit_v14_recall_boost.json;submit_v16_rules.json;submit_v17_whitelist.json;submit_v18_whitelist.json;submit_v19_recovered.json;submit_v20_verA_v18only.json;submit_v20_verB_v19_sc.json;submit_v20_verC_5source_2vote.json;submit_v20_verD_v18_sc_cross.json;submit_v20_verE_v19_sc_cross.json;submit_v21_elite.json;submit_v3.json;submit_v30_safe.json;submit_v30_supported_alltypes.json;submit_v30_ultrasafe.json;submit_v4.json;submit_v9_clean.json;submit_v9_targeted.json,"Candidate genes VRADI07G24840, VRADI07G17780, and VRADI07G15650 regulate trichome density on the dorsal leaf surface of mungbean. VRADI07G24840 encodes ZFP6, VRADI07G17780 encodes a bHLH DNA-binding superfamily protein, and VRADI07G15650 encodes MYB102. Candidate genes VRADIO7G29860, VRADIO7G29450, and VRADIO7G28520 have roles in chlorophyl"
